Nama_Variety,Gred,Unit,Harga_Tinggi,Harga_Purata,Harga_Rendah,Tarikh
Pusat : JOHOR BAHRU, JOHOR],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM HIDUP, F.A.Q, KILOGRAM, 6.50, 6.50, 6.50,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.80, 7.80, 7.80,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 26.00, 25.00, 24.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 15.00, 13.50, 12.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.50, 1.50,2021-01-02
CILI HIJAU, F.A.Q, KILOGRAM, 16.00, 15.50, 15.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 8.50, 8.25, 8.00,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.50,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.50, 7.25, 7.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
SANTAN BIASA, F.A.Q, KILOGRAM, 9.50, 9.50, 9.50,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
TELUR AYAM, A, BIJI, .37, .37, .37,2021-01-02
TELUR AYAM, B, BIJI, .36, .36, .36,2021-01-02
TELUR AYAM, C, BIJI, .35, .35, .35,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
Pusat : KOTA SETAR, KEDAH],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.80, 7.40, 7.40,2021-01-02
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 8.50, 8.30, 8.30,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 9.00, 9.00, 7.00,2021-01-02
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 10.00, 9.00, 8.00,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 14.00, 13.00, 13.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 18.00, 16.00, 16.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 11.00, 10.00, 10.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 7.00, 7.00, 6.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.00, 4.00, 3.00,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 3.00, 2.00, 2.00,2021-01-02
CILI HIJAU (IMPORT), F.A.Q, KILOGRAM, 12.00, 11.00, 11.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 24.00, 22.00, 20.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 20.00, 18.00, 18.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 20.00, 17.00, 17.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 10.00, 8.00, 8.00,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 12.00, 10.00, 10.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.40,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.20, 7.20, 7.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-01-02
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-01-02
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 12.00, 10.00,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-01-02
TELUR AYAM, A, BIJI, .37, .36, .36,2021-01-02
TELUR AYAM, B, BIJI, .34, .33, .33,2021-01-02
TELUR AYAM, C, BIJI, .31, .30, .30,2021-01-02
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 4.00, 3.50,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-01-02
Pusat : KOTA BHARU, KELANTAN],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.50, 7.50, 7.50,2021-01-02
AYAM PROSES SUPER, F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-01-02
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 14.00, 14.00, 14.00,2021-01-02
